id	depth	type	is_leaf	name	path
culture-mass-media-broadcast-media-television-lists-television-programs-cult-television-shows	7	event	true	Cult television shows	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Cult television shows
culture-mass-media-broadcast-media-television-lists-television-programs-dramedies	7	event	true	Dramedies	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Dramedies
culture-mass-media-broadcast-media-television-lists-television-programs-most-watched-television-episodes	7	event	true	Most-watched television episodes	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Most-watched television episodes
culture-mass-media-broadcast-media-television-lists-television-programs-sci-fi-tv-programs	7	event	true	Sci-fi TV programs	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Sci-fi TV programs
culture-mass-media-broadcast-media-television-lists-television-programs-soap-operas	7	event	true	Soap operas	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Soap operas
culture-mass-media-broadcast-media-television-lists-television-programs-spin-off-shows	7	event	true	Spin-off shows	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Spin-off shows
culture-mass-media-broadcast-media-television-lists-television-programs-tv-shows-by-city-setting	7	event	true	TV shows by city setting	Culture / Mass media / Broadcast media / Television / Lists / Television programs / TV shows by city setting
culture-mass-media-broadcast-media-television-lists-television-programs-uk-television-series	7	event	true	UK television series	Culture / Mass media / Broadcast media / Television / Lists / Television programs / UK television series
culture-mass-media-broadcast-media-television-lists-tv-stations-in-north-america	6	event	true	TV stations in North America	Culture / Mass media / Broadcast media / Television / Lists / TV stations in North America
culture-mass-media-film-and-cinema-lists	4	event	false	Lists	Culture / Mass media / Film and cinema / Lists
culture-mass-media-film-and-cinema-lists-actors	5	event	true	Actors	Culture / Mass media / Film and cinema / Lists / Actors
culture-mass-media-film-and-cinema-lists-directors	5	event	true	Directors	Culture / Mass media / Film and cinema / Lists / Directors
culture-mass-media-film-and-cinema-lists-film-awards	5	event	true	Film awards	Culture / Mass media / Film and cinema / Lists / Film awards
culture-mass-media-film-and-cinema-lists-film-festivals	5	event	true	Film festivals	Culture / Mass media / Film and cinema / Lists / Film festivals
culture-mass-media-film-and-cinema-lists-film-institutes	5	event	true	Film institutes	Culture / Mass media / Film and cinema / Lists / Film institutes
culture-mass-media-film-and-cinema-lists-films	5	event	false	Films	Culture / Mass media / Film and cinema / Lists / Films
culture-mass-media-film-and-cinema-lists-films-by-genre	6	event	false	By genre	Culture / Mass media / Film and cinema / Lists / Films / By genre
culture-mass-media-film-and-cinema-lists-films-by-genre-cult	7	event	true	Cult	Culture / Mass media / Film and cinema / Lists / Films / By genre / Cult
culture-mass-media-film-and-cinema-lists-films-by-genre-fantasy	7	event	true	Fantasy	Culture / Mass media / Film and cinema / Lists / Films / By genre / Fantasy
culture-mass-media-film-and-cinema-lists-films-by-genre-horror	7	event	true	Horror	Culture / Mass media / Film and cinema / Lists / Films / By genre / Horror
culture-mass-media-film-and-cinema-lists-films-by-genre-musicals	7	event	true	Musicals	Culture / Mass media / Film and cinema / Lists / Films / By genre / Musicals
culture-mass-media-film-and-cinema-lists-films-by-genre-noir	7	event	true	Noir	Culture / Mass media / Film and cinema / Lists / Films / By genre / Noir
culture-mass-media-film-and-cinema-lists-films-by-genre-science-fiction	7	event	true	Science fiction	Culture / Mass media / Film and cinema / Lists / Films / By genre / Science fiction
culture-mass-media-film-and-cinema-lists-films-by-genre-war	7	event	true	War	Culture / Mass media / Film and cinema / Lists / Films / By genre / War
culture-mass-media-film-and-cinema-lists-films-by-genre-westerns	7	event	true	Westerns	Culture / Mass media / Film and cinema / Lists / Films / By genre / Westerns
culture-mass-media-film-and-cinema-lists-films-by-title	6	event	true	By title	Culture / Mass media / Film and cinema / Lists / Films / By title
culture-mass-media-film-and-cinema-lists-films-by-year	6	event	false	By year	Culture / Mass media / Film and cinema / Lists / Films / By year
culture-mass-media-film-and-cinema-lists-films-by-year-1920s	7	event	true	1920s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1920s
culture-mass-media-film-and-cinema-lists-films-by-year-1930s	7	event	true	1930s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1930s
culture-mass-media-film-and-cinema-lists-films-by-year-1940s	7	event	true	1940s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1940s
culture-mass-media-film-and-cinema-lists-films-by-year-1950s	7	event	true	1950s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1950s
culture-mass-media-film-and-cinema-lists-films-by-year-1960s	7	event	true	1960s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1960s
culture-mass-media-film-and-cinema-lists-films-by-year-1970s	7	event	true	1970s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1970s
culture-mass-media-film-and-cinema-lists-films-by-year-1980s	7	event	true	1980s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1980s
culture-mass-media-film-and-cinema-lists-films-by-year-1990s	7	event	true	1990s	Culture / Mass media / Film and cinema / Lists / Films / By year / 1990s
culture-mass-media-film-and-cinema-lists-films-by-year-2000s	7	event	true	2000s	Culture / Mass media / Film and cinema / Lists / Films / By year / 2000s
culture-mass-media-film-and-cinema-lists-films-by-year-2010s	7	event	true	2010s	Culture / Mass media / Film and cinema / Lists / Films / By year / 2010s
culture-mass-media-film-and-cinema-lists-films-computer-animated-films	6	event	true	Computer-animated films	Culture / Mass media / Film and cinema / Lists / Films / Computer-animated films
culture-mass-media-film-and-cinema-lists-films-film-series	6	event	true	Film series	Culture / Mass media / Film and cinema / Lists / Films / Film series
culture-mass-media-film-and-cinema-lists-films-greatest	6	event	true	Greatest	Culture / Mass media / Film and cinema / Lists / Films / Greatest
culture-mass-media-film-and-cinema-lists-films-highest-grossing	6	event	true	Highest-grossing	Culture / Mass media / Film and cinema / Lists / Films / Highest-grossing
culture-mass-media-film-and-cinema-lists-films-most-expensive	6	event	true	Most expensive	Culture / Mass media / Film and cinema / Lists / Films / Most expensive
culture-mass-media-film-and-cinema-lists-films-preserved-films	6	event	true	Preserved films	Culture / Mass media / Film and cinema / Lists / Films / Preserved films
culture-mass-media-film-and-cinema-lists-films-rated-nc-17	6	event	true	Rated NC-17	Culture / Mass media / Film and cinema / Lists / Films / Rated NC-17
culture-mass-media-film-and-cinema-lists-films-trilogies	6	event	true	Trilogies	Culture / Mass media / Film and cinema / Lists / Films / Trilogies
culture-mass-media-film-and-cinema-lists-films-worst	6	event	true	Worst	Culture / Mass media / Film and cinema / Lists / Films / Worst
culture-performing-arts-music-lists	4	event	false	Lists	Culture / Performing arts / Music / Lists
